Trtmt,Sp,Rep,ID,Plate,Tray,Row,Col,Date Sowed,H,Ex,C,Pheno,DateEmerg,D2Emerg,Survival,HarvestD,No.Lvs,WetWt,A_WetWt,B_WetWt,PhotoIDNo.,PhotoIDLet,PhotoIDAdd,PhotoID
0,Lettuce,1,19,1,4,4,1,18-Nov-16,2,2,1,2.2.1,20-Nov-16,2,1,05-Dec-16,3,397.28,382.77,10.33,2,B,,9363
0,Lettuce,1,20,1,1,2,2,18-Nov-16,2,2,1,2.2.1,20-Nov-16,2,1,01-Dec-16,2,110.86,91.86,14.4,3,C,,9324
25,Basil,1,1,3,4,7,1,18-Nov-16,1,2,0,1.2.0,22-Nov-16,4,1,05-Dec-16,0,61.21,53.46,6.74,4,A,,9365
25,Basil,1,2,3,1,5,3,18-Nov-16,1,2,0,1.2.0,21-Nov-16,3,1,01-Dec-16,0,55.79,49.99,4.66,8,A,,9329
25,Basil,1,3,3,2,4,3,18-Nov-16,1,2,0,1.2.0,21-Nov-16,3,1,02-Dec-16,0,38.17,33.59,4.12,7,B,,9343
25,Basil,1,4,3,1,4,1,18-Nov-16,1,2,0,1.2.0,22-Nov-16,4,1,01-Dec-16,0,40.08,34.5,5.17,4,B,,9325
25,Basil,1,5,2,2,8,4,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,02-Dec-16,0,50.25,48.08,1.52,9,C,,9345
25,Basil,1,6,2,1,4,4,18-Nov-16,0,2,0,0.2.0,21-Nov-16,3,1,01-Dec-16,0,55.19,47.61,6.24,7,D,,9328
25,Basil,1,7,2,2,4,2,18-Nov-16,1,2,0,1.2.0,21-Nov-16,3,1,02-Dec-16,0,39.69,36.67,2.73,2,C,,9338
25,Basil,1,8,2,4,4,4,18-Nov-16,0,1,0,0.1.0,23-Nov-16,5,1,05-Dec-16,0,49.45,46.28,2.72,7,D,,9368
25,Basil,1,9,1,2,7,3,18-Nov-16,1,1,0,1.1.0,21-Nov-16,3,1,02-Dec-16,0,32.61,29.12,3.29,9,A,,9345
25,Basil,1,10,1,4,6,3,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,05-Dec-16,2,85.1,79.3,5.22,8,B,,9369
25,Basil,1,11,1,2,1,2,18-Nov-16,0,1,0,0.1.0,20-Nov-16,2,1,02-Dec-16,2,47.51,41.79,5.51,1,B,,9337
25,Basil,1,12,1,3,4,4,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,02-Dec-16,0,49.8,46.54,2.95,17,D,,9353
25,Basil,1,13,5,2,6,2,18-Nov-16,1,2,1,1.2.1,21-Nov-16,3,1,02-Dec-16,2,42.63,38.39,3.63,3,D,,9339
25,Basil,1,14,5,3,5,1,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,02-Dec-16,2,58.17,50.33,7.09,13,A,,9349
25,Basil,1,15,5,2,1,3,18-Nov-16,1,2,1,1.2.1,19-Nov-16,1,1,02-Dec-16,2,63.27,56.31,6.26,6,A,,9342
25,Basil,1,16,5,3,6,3,18-Nov-16,0,2,0,0.2.0,21-Nov-16,3,1,02-Dec-16,0,42.15,39.31,2.56,18,C,,9354
25,Basil,1,17,4,4,3,1,18-Nov-16,1,2,0,1.2.0,21-Nov-16,3,1,05-Dec-16,2,91.49,80.91,9.24,2,A,,9363
25,Basil,1,18,4,3,8,2,18-Nov-16,1,2,0,1.2.0,22-Nov-16,4,1,02-Dec-16,0,41.09,38.15,2.79,14,C,,9350
25,Basil,1,19,4,3,1,3,18-Nov-16,1,2,0,1.2.0,21-Nov-16,3,1,02-Dec-16,2,49.01,43.95,4.82,16,A,,9352
